lan,kommun,deso,lannamn,kommunnamn,regso,age,minst_1_dos,2_doser
12,1256,1256B2010,Skåne,Östra Göinge,Knislinge väst,18-64,80-90,50-60
12,1256,1256B2010,Skåne,Östra Göinge,Knislinge väst,65+,90-100,90-100
07,0760,0760B3010,Kronoberg,Uppvidinge,Klavreström-Norrhult,18-64,60-70,40-50
07,0760,0760B3010,Kronoberg,Uppvidinge,Klavreström-Norrhult,65+,90-100,90-100
10,1082,1082C1120,Blekinge,Karlshamn,Asarum centrala,18-64,70-80,60-70
10,1082,1082C1120,Blekinge,Karlshamn,Asarum centrala,65+,90-100,90-100
12,1292,1292A0010,Skåne,Ängelholm,Ängelholm omland syd,18-64,70-80,60-70
12,1292,1292A0010,Skåne,Ängelholm,Ängelholm omland syd,65+,90-100,90-100
10,1081,1081C1070,Blekinge,Ronneby,Ronneby centrum,18-64,70-80,50-60
10,1081,1081C1070,Blekinge,Ronneby,Ronneby centrum,65+,90-100,90-100
10,1081,1081C1020,Blekinge,Ronneby,Ekenäs-Sörby-Påtorp,18-64,70-80,60-70
10,1081,1081C1020,Blekinge,Ronneby,Ekenäs-Sörby-Påtorp,65+,90-100,90-100
08,0880,0880C1050,Kalmar,Kalmar,Tegelviken-Västra Malmen,18-64,70-80,50-60
08,0880,0880C1050,Kalmar,Kalmar,Tegelviken-Västra Malmen,65+,90-100,90-100
08,0840,0840B2020,Kalmar,Mörbylånga,Skogsby-Torslunda,18-64,80-90,70-80
08,0840,0840B2020,Kalmar,Mörbylånga,Skogsby-Torslunda,65+,90-100,90-100
10,1082,1082C1110,Blekinge,Karlshamn,Korpadalen-Strömma,18-64,80-90,70-80
10,1082,1082C1110,Blekinge,Karlshamn,Korpadalen-Strömma,65+,90-100,90-100
12,1293,1293A0030,Skåne,Hässleholm,Gulastorp-Sjunkaröd-Gumlösa,18-64,70-80,60-70
12,1293,1293A0030,Skåne,Hässleholm,Gulastorp-Sjunkaröd-Gumlösa,65+,90-100,80-90
10,1081,1081A0010,Blekinge,Ronneby,Saxemara-Listerby-Johannishus,18-64,80-90,70-80
10,1081,1081A0010,Blekinge,Ronneby,Saxemara-Listerby-Johannishus,65+,90-100,90-100
12,1256,1256B2020,Skåne,Östra Göinge,Knislinge öst,18-64,70-80,50-60
12,1256,1256B2020,Skåne,Östra Göinge,Knislinge öst,65+,90-100,90-100
10,1080,1080B3020,Blekinge,Karlskrona,Jämjö tätort,18-64,80-90,60-70
10,1080,1080B3020,Blekinge,Karlskrona,Jämjö tätort,65+,90-100,90-100
10,1081,1081C1060,Blekinge,Ronneby,Hulta,18-64,80-90,70-80
10,1081,1081C1060,Blekinge,Ronneby,Hulta,65+,90-100,90-100
08,0880,0880C1210,Kalmar,Kalmar,Norrliden,18-64,60-70,40-50
08,0880,0880C1210,Kalmar,Kalmar,Norrliden,65+,90-100,80-90
14,1481,1481C1190,Västra Götaland,Mölndal,Åby,18-64,70-80,40-50
14,1481,1481C1190,Västra Götaland,Mölndal,Åby,65+,90-100,80-90
14,1480,1480C1930,Västra Götaland,Göteborg,Masthugget övre Vegagatan,18-64,70-80,50-60
14,1480,1480C1930,Västra Götaland,Göteborg,Masthugget övre Vegagatan,65+,90-100,80-90
10,1080,1080C1210,Blekinge,Karlskrona,Kronotorp-Nordöstra Lyckeby,18-64,80-90,60-70
10,1080,1080C1210,Blekinge,Karlskrona,Kronotorp-Nordöstra Lyckeby,65+,90-100,90-100
10,1080,1080C1230,Blekinge,Karlskrona,Spandelstorp,18-64,80-90,70-80
10,1080,1080C1230,Blekinge,Karlskrona,Spandelstorp,65+,90-100,90-100
10,1080,1080C1220,Blekinge,Karlskrona,Nättraby tätort,18-64,80-90,70-80
10,1080,1080C1220,Blekinge,Karlskrona,Nättraby tätort,65+,90-100,90-100
14,1480,1480C2510,Västra Götaland,Göteborg,Kyrkbyn Bräcke,18-64,70-80,40-50
14,1480,1480C2510,Västra Götaland,Göteborg,Kyrkbyn Bräcke,65+,80-90,70-80
14,1480,1480C2410,Västra Götaland,Göteborg,Eriksberg,18-64,80-90,60-70
14,1480,1480C2410,Västra Götaland,Göteborg,Eriksberg,65+,90-100,90-100
10,1082,1082C1100,Blekinge,Karlshamn,Mörrum östra,18-64,80-90,70-80
10,1082,1082C1100,Blekinge,Karlshamn,Mörrum östra,65+,90-100,90-100
12,1284,1284C1060,Skåne,Höganäs,Höganäs södra,18-64,70-80,60-70
12,1284,1284C1060,Skåne,Höganäs,Höganäs södra,65+,90-100,90-100
12,1292,1292C1050,Skåne,Ängelholm,Ängelholm centrum,18-64,70-80,50-60
12,1292,1292C1050,Skåne,Ängelholm,Ängelholm centrum,65+,90-100,90-100
14,1480,1480C2690,Västra Götaland,Göteborg,Kyrkbyn östra,18-64,60-70,30-40
14,1480,1480C2690,Västra Götaland,Göteborg,Kyrkbyn östra,65+,80-90,80-90
14,1480,1480C2700,Västra Götaland,Göteborg,Kyrkbyn östra,18-64,60-70,30-40
14,1480,1480C2700,Västra Götaland,Göteborg,Kyrkbyn östra,65+,80-90,80-90
10,1080,1080C1190,Blekinge,Karlskrona,Nättraby tätort,18-64,90-100,80-90
10,1080,1080C1190,Blekinge,Karlskrona,Nättraby tätort,65+,90-100,90-100
12,1284,1284C1070,Skåne,Höganäs,Höganäs östra-Väsby-Ingelsträde,18-64,70-80,50-60
12,1284,1284C1070,Skåne,Höganäs,Höganäs östra-Väsby-Ingelsträde,65+,90-100,80-90
12,1284,1284C1080,Skåne,Höganäs,Höganäs övre,18-64,70-80,60-70
12,1284,1284C1080,Skåne,Höganäs,Höganäs övre,65+,90-100,90-100
10,1082,1082C1090,Blekinge,Karlshamn,Duveryd,18-64,80-90,60-70
10,1082,1082C1090,Blekinge,Karlshamn,Duveryd,65+,90-100,90-100
12,1276,1276B3010,Skåne,Klippan,Stidsvig-Östra Ljungby,18-64,60-70,50-60
12,1276,1276B3010,Skåne,Klippan,Stidsvig-Östra Ljungby,65+,90-100,80-90
12,1284,1284C1090,Skåne,Höganäs,Höganäs Nedre,18-64,70-80,60-70
12,1284,1284C1090,Skåne,Höganäs,Höganäs Nedre,65+,90-100,90-100
10,1082,1082C1130,Blekinge,Karlshamn,Mörrum västra,18-64,70-80,60-70
10,1082,1082C1130,Blekinge,Karlshamn,Mörrum västra,65+,80-90,80-90
10,1081,1081B2010,Blekinge,Ronneby,Saxemara-Listerby-Johannishus,18-64,80-90,70-80
10,1081,1081B2010,Blekinge,Ronneby,Saxemara-Listerby-Johannishus,65+,90-100,90-100
12,1272,1272A0010,Skåne,Bromölla,Bromölla omland,18-64,70-80,60-70
12,1272,1272A0010,Skåne,Bromölla,Bromölla omland,65+,90-100,80-90
10,1080,1080C1240,Blekinge,Karlskrona,Hässlegården-Bastasjö-Torskors,18-64,90-100,80-90
10,1080,1080C1240,Blekinge,Karlskrona,Hässlegården-Bastasjö-Torskors,65+,90-100,90-100
10,1081,1081C1090,Blekinge,Ronneby,Kallinge,18-64,70-80,60-70
10,1081,1081C1090,Blekinge,Ronneby,Kallinge,65+,90-100,90-100
14,1490,1490C1470,Västra Götaland,Borås,Sjöbo-Johannelund,18-64,50-60,30-40
14,1490,1490C1470,Västra Götaland,Borås,Sjöbo-Johannelund,65+,80-90,80-90
14,1480,1480C3010,Västra Götaland,Göteborg,Torpa,18-64,80-90,60-70
14,1480,1480C3010,Västra Götaland,Göteborg,Torpa,65+,90-100,90-100
10,1081,1081C1080,Blekinge,Ronneby,Ekenäs-Sörby-Påtorp,18-64,80-90,70-80
10,1081,1081C1080,Blekinge,Ronneby,Ekenäs-Sörby-Påtorp,65+,90-100,90-100
12,1284,1284C1110,Skåne,Höganäs,Höganäs nordvästra-Strandbaden-Nyhamnsläge,18-64,70-80,60-70
