deso,kommun,lan,kommunnamn,lannamn,2_doser,minst_1_dos
1256B2010,1256,12,Östra Göinge,Skåne,0.71,0.86
0760B3010,0760,07,Uppvidinge,Kronoberg,0.61,0.75
1082C1120,1082,10,Karlshamn,Blekinge,0.72,0.81
1292A0010,1292,12,Ängelholm,Skåne,0.66,0.77
1081C1070,1081,10,Ronneby,Blekinge,0.68,0.8
1081C1020,1081,10,Ronneby,Blekinge,0.72,0.82
0880C1050,0880,08,Kalmar,Kalmar,0.68,0.83
0840B2020,0840,08,Mörbylånga,Kalmar,0.77,0.86
1082C1110,1082,10,Karlshamn,Blekinge,0.79,0.9
1293A0030,1293,12,Hässleholm,Skåne,0.69,0.81
1081A0010,1081,10,Ronneby,Blekinge,0.84,0.91
1256B2020,1256,12,Östra Göinge,Skåne,0.65,0.77
1080B3020,1080,10,Karlskrona,Blekinge,0.77,0.9
1081C1060,1081,10,Ronneby,Blekinge,0.85,0.92
0880C1210,0880,08,Kalmar,Kalmar,0.53,0.67
1481C1190,1481,14,Mölndal,Västra Götaland,0.52,0.77
1480C1930,1480,14,Göteborg,Västra Götaland,0.6,0.81
1080C1210,1080,10,Karlskrona,Blekinge,0.72,0.85
1080C1230,1080,10,Karlskrona,Blekinge,0.76,0.89
1080C1220,1080,10,Karlskrona,Blekinge,0.78,0.89
1480C2510,1480,14,Göteborg,Västra Götaland,0.45,0.72
1480C2410,1480,14,Göteborg,Västra Götaland,0.72,0.87
1082C1100,1082,10,Karlshamn,Blekinge,0.79,0.89
1284C1060,1284,12,Höganäs,Skåne,0.72,0.8
1292C1050,1292,12,Ängelholm,Skåne,0.73,0.84
1480C2690,1480,14,Göteborg,Västra Götaland,0.48,0.71
1480C2700,1480,14,Göteborg,Västra Götaland,0.47,0.72
1080C1190,1080,10,Karlskrona,Blekinge,0.85,0.94
1284C1070,1284,12,Höganäs,Skåne,0.63,0.76
1284C1080,1284,12,Höganäs,Skåne,0.7,0.81
1082C1090,1082,10,Karlshamn,Blekinge,0.71,0.84
